BK	CH	VS	OL_REF	LANG	TOKEN_NO	TOKEN	CANON_TOKEN	ATOM_VALUE	ATOM_TYPE	STATUS	REASON	SEED_LEXEME_OCCURRENCES	OL_TEXT	COVERAGE_CLASS	SEMANTIC_VALUE	AUDIT_REASON
EPH	4	5	EPH 4:5	GRK	5	ἓν	ἓν	1	cardinal	NOVEL_NUMERIC_CANDIDATE		0	εἷς κύριος, μία πίστις, ἓν βάπτισμα,	NUMERIC	1	Pointed OL form is a genuine cardinal, ordinal, fraction, or numeric scale in context.
EST	1	9	EST 1:9	HEB	2	וַשְׁתִּ֣י	וַשְׁתִּי	2	cardinal_or_ordinal	NOVEL_NUMERIC_CANDIDATE		0	גַּ֚ם וַשְׁתִּ֣י הַמַּלְכָּ֔ה עָשְׂתָ֖ה מִשְׁתֵּ֣ה נָשִׁ֑ים בֵּ֚ית הַמַּלְכ֔וּת אֲשֶׁ֖ר לַמֶּ֥לֶךְ אֲחַשְׁוֵרֽוֹשׁ׃ ס	EXCLUDED_LEXICAL_HOMOGRAPH		Pointed OL form is lexical/non-numeric in this context; excluded from the numeric index.
EST	1	11	EST 1:11	HEB	3	וַשְׁתִּ֧י	וַשְׁתִּי	2	cardinal_or_ordinal	NOVEL_NUMERIC_CANDIDATE		0	לְ֠הָבִיא אֶת־וַשְׁתִּ֧י הַמַּלְכָּ֛ה לִפְנֵ֥י הַמֶּ֖לֶךְ בְּכֶ֣תֶר מַלְכ֑וּת לְהַרְא֨וֹת הָֽעַמִּ֤ים וְהַשָּׂרִים֙ אֶת־יָפְיָ֔הּ כִּֽי־טוֹבַ֥ת מַרְאֶ֖ה הִֽיא׃	EXCLUDED_LEXICAL_HOMOGRAPH		Pointed OL form is lexical/non-numeric in this context; excluded from the numeric index.
EST	1	12	EST 1:12	HEB	3	וַשְׁתִּ֗י	וַשְׁתִּי	2	cardinal_or_ordinal	NOVEL_NUMERIC_CANDIDATE		0	וַתְּמָאֵ֞ן הַמַּלְכָּ֣ה וַשְׁתִּ֗י לָבוֹא֙ בִּדְבַ֣ר הַמֶּ֔לֶךְ אֲשֶׁ֖ר בְּיַ֣ד הַסָּרִיסִ֑ים וַיִּקְצֹ֤ף הַמֶּ֙לֶךְ֙ מְאֹ֔ד וַחֲמָת֖וֹ בָּעֲרָ֥ה בֽוֹ׃	EXCLUDED_LEXICAL_HOMOGRAPH		Pointed OL form is lexical/non-numeric in this context; excluded from the numeric index.
EST	1	15	EST 1:15	HEB	5	וַשְׁתִּ֑י	וַשְׁתִּי	2	cardinal_or_ordinal	NOVEL_NUMERIC_CANDIDATE		0	כְּדָת֙ מַֽה־לַּעֲשׂ֔וֹת בַּמַּלְכָּ֖ה וַשְׁתִּ֑י עַ֣ל_׀ אֲשֶׁ֣ר לֹֽא־עָשְׂתָ֗ה אֶֽת־מַאֲמַר֙ הַמֶּ֣לֶךְ אֲחַשְׁוֵר֔וֹשׁ בְּיַ֖ד הַסָּרִיסִֽים׃ ס	EXCLUDED_LEXICAL_HOMOGRAPH		Pointed OL form is lexical/non-numeric in this context; excluded from the numeric index.
EST	1	16	EST 1:16	HEB	12	וַשְׁתִּ֣י	וַשְׁתִּי	2	cardinal_or_ordinal	NOVEL_NUMERIC_CANDIDATE		0	וַיֹּ֣אמֶר *מוּמְכָן **מְמוּכָ֗ן לִפְנֵ֤י הַמֶּ֙לֶךְ֙ וְהַשָּׂרִ֔ים לֹ֤א עַל־הַמֶּ֙לֶךְ֙ לְבַדּ֔וֹ עָוְתָ֖ה וַשְׁתִּ֣י הַמַּלְכָּ֑ה כִּ֤י עַל־כָּל־הַשָּׂרִים֙ וְעַל־כָּל־הָ֣עַמִּ֔ים אֲשֶׁ֕ר בְּכָל־מְדִינ֖וֹת הַמֶּ֥לֶךְ אֲחַשְׁוֵרֽוֹשׁ׃	EXCLUDED_LEXICAL_HOMOGRAPH		Pointed OL form is lexical/non-numeric in this context; excluded from the numeric index.
EST	1	17	EST 1:17	HEB	17	וַשְׁתִּ֧י	וַשְׁתִּי	2	cardinal_or_ordinal	NOVEL_NUMERIC_CANDIDATE		0	כִּֽי־יֵצֵ֤א דְבַר־הַמַּלְכָּה֙ עַל־כָּל־הַנָּשִׁ֔ים לְהַבְז֥וֹת בַּעְלֵיהֶ֖ן בְּעֵינֵיהֶ֑ן בְּאָמְרָ֗ם הַמֶּ֣לֶךְ אֲחַשְׁוֵר֡וֹשׁ אָמַ֞ר לְהָבִ֨יא אֶת־וַשְׁתִּ֧י הַמַּלְכָּ֛ה לְפָנָ֖יו וְלֹא־בָֽאָה׃	EXCLUDED_LEXICAL_HOMOGRAPH		Pointed OL form is lexical/non-numeric in this context; excluded from the numeric index.
EST	1	19	EST 1:19	HEB	18	וַשְׁתִּ֗י	וַשְׁתִּי	2	cardinal_or_ordinal	NOVEL_NUMERIC_CANDIDATE		0	אִם־עַל־הַמֶּ֣לֶךְ ט֗וֹב יֵצֵ֤א דְבַר־מַלְכוּת֙ מִלְּפָנָ֔יו וְיִכָּתֵ֛ב בְּדָתֵ֥י פָֽרַס־וּמָדַ֖י וְלֹ֣א יַעֲב֑וֹר אֲשֶׁ֨ר לֹֽא־תָב֜וֹא וַשְׁתִּ֗י לִפְנֵי֙ הַמֶּ֣לֶךְ אֲחַשְׁוֵר֔וֹשׁ וּמַלְכוּתָהּ֙ יִתֵּ֣ן הַמֶּ֔לֶךְ לִרְעוּתָ֖הּ הַטּוֹבָ֥ה מִמֶּֽנָּה׃	EXCLUDED_LEXICAL_HOMOGRAPH		Pointed OL form is lexical/non-numeric in this context; excluded from the numeric index.
EST	2	1	EST 2:1	HEB	10	וַשְׁתִּי֙	וַשְׁתִּי	2	cardinal_or_ordinal	NOVEL_NUMERIC_CANDIDATE		0	אַחַר֙ הַדְּבָרִ֣ים הָאֵ֔לֶּה כְּשֹׁ֕ךְ חֲמַ֖ת הַמֶּ֣לֶךְ אֲחַשְׁוֵר֑וֹשׁ זָכַ֤ר אֶת־וַשְׁתִּי֙ וְאֵ֣ת אֲשֶׁר־עָשָׂ֔תָה וְאֵ֥ת אֲשֶׁר־נִגְזַ֖ר עָלֶֽיהָ׃	EXCLUDED_LEXICAL_HOMOGRAPH		Pointed OL form is lexical/non-numeric in this context; excluded from the numeric index.
EST	2	4	EST 2:4	HEB	8	וַשְׁתִּ֑י	וַשְׁתִּי	2	cardinal_or_ordinal	NOVEL_NUMERIC_CANDIDATE		0	וְהַֽנַּעֲרָ֗ה אֲשֶׁ֤ר תִּיטַב֙ בְּעֵינֵ֣י הַמֶּ֔לֶךְ תִּמְלֹ֖ךְ תַּ֣חַת וַשְׁתִּ֑י וַיִּיטַ֧ב הַדָּבָ֛ר בְּעֵינֵ֥י הַמֶּ֖לֶךְ וַיַּ֥עַשׂ כֵּֽן׃ ס	EXCLUDED_LEXICAL_HOMOGRAPH		Pointed OL form is lexical/non-numeric in this context; excluded from the numeric index.
EST	2	17	EST 2:17	HEB	19	וַשְׁתִּֽי׃	וַשְׁתִּי	2	cardinal_or_ordinal	NOVEL_NUMERIC_CANDIDATE		0	וַיֶּאֱהַ֨ב הַמֶּ֤לֶךְ אֶת־אֶסְתֵּר֙ מִכָּל־הַנָּשִׁ֔ים וַתִּשָּׂא־חֵ֥ן וָחֶ֛סֶד לְפָנָ֖יו מִכָּל־הַבְּתוּלֹ֑ת וַיָּ֤שֶׂם כֶּֽתֶר־מַלְכוּת֙ בְּרֹאשָׁ֔הּ וַיַּמְלִיכֶ֖הָ תַּ֥חַת וַשְׁתִּֽי׃	EXCLUDED_LEXICAL_HOMOGRAPH		Pointed OL form is lexical/non-numeric in this context; excluded from the numeric index.
EXO	10	1	EXO 10:1	HEB	17	שִׁתִ֛י	שִׁתִי	2	cardinal_or_ordinal	NOVEL_NUMERIC_CANDIDATE		0	וַיֹּ֤אמֶר יְהוָה֙ אֶל־מֹשֶׁ֔ה בֹּ֖א אֶל־פַּרְעֹ֑ה כִּֽי־אֲנִ֞י הִכְבַּ֤דְתִּי אֶת־לִבּוֹ֙ וְאֶת־לֵ֣ב עֲבָדָ֔יו לְמַ֗עַן שִׁתִ֛י אֹתֹתַ֥י אֵ֖לֶּה בְּקִרְבּֽוֹ׃	EXCLUDED_LEXICAL_HOMOGRAPH		Pointed OL form is lexical/non-numeric in this context; excluded from the numeric index.
EXO	13	18	EXO 13:18	HEB	9	וַחֲמֻשִׁ֛ים	וַחֲמֻשִׁים	50	cardinal	NOVEL_NUMERIC_CANDIDATE		0	וַיַּסֵּ֨ב אֱלֹהִ֧ים_׀ אֶת־הָעָ֛ם דֶּ֥רֶךְ הַמִּדְבָּ֖ר יַם־ס֑וּף וַחֲמֻשִׁ֛ים עָל֥וּ בְנֵי־יִשְׂרָאֵ֖ל מֵאֶ֥רֶץ מִצְרָֽיִם׃	EXCLUDED_LEXICAL_HOMOGRAPH		Pointed OL form is lexical/non-numeric in this context; excluded from the numeric index.
EXO	20	5	EXO 20:5	HEB	18	שִׁלֵּשִׁ֥ים	שִׁלֵּשִׁים	30	cardinal	NOVEL_NUMERIC_CANDIDATE		0	לֹֽא־תִשְׁתַּחְוֶ֥֣ה לָהֶ֖ם֮ וְלֹ֣א תָעָבְדֵ֑ם֒ כִּ֣י אֽ͏ָנֹכִ֞י יְהוָ֤ה אֱלֹהֶ֙יךָ֙ אֵ֣ל קַנָּ֔א פֹּ֠קֵד עֲוֺ֨ן אָבֹ֧ת עַל־בָּנִ֛ים עַל־שִׁלֵּשִׁ֥ים וְעַל־רִבֵּעִ֖ים לְשֹׂנְאָֽ֑י׃	NUMERIC	3	Pointed OL form is a genuine cardinal, ordinal, fraction, or numeric scale in context.
EXO	21	11	EXO 21:11	HEB	2	שְׁלָ֨שׁ	שְׁלָשׁ	3	cardinal	NOVEL_NUMERIC_CANDIDATE		0	וְאִם־שְׁלָ֨שׁ־אֵ֔לֶּה לֹ֥א יַעֲשֶׂ֖ה לָ֑הּ וְיָצְאָ֥ה חִנָּ֖ם אֵ֥ין כָּֽסֶף׃ ס	NUMERIC	3	Pointed OL form is a genuine cardinal, ordinal, fraction, or numeric scale in context.
EXO	25	18	EXO 25:18	HEB	8	מִשְּׁנֵ֖י	מִשְּׁנֵי	2	cardinal_or_ordinal	NOVEL_NUMERIC_CANDIDATE		0	וְעָשִׂ֛יתָ שְׁנַ֥יִם כְּרֻבִ֖ים זָהָ֑ב מִקְשָׁה֙ תַּעֲשֶׂ֣ה אֹתָ֔ם מִשְּׁנֵ֖י קְצ֥וֹת הַכַּפֹּֽרֶת׃	NUMERIC	2	Pointed OL form is a genuine cardinal, ordinal, fraction, or numeric scale in context.
EXO	28	5	EXO 28:5	HEB	13	הַשֵּֽׁשׁ׃	הַשֵּׁשׁ	6	cardinal	NOVEL_NUMERIC_CANDIDATE		0	וְהֵם֙ יִקְח֣וּ אֶת־הַזָּהָ֔ב וְאֶת־הַתְּכֵ֖לֶת וְאֶת־הָֽאַרְגָּמָ֑ן וְאֶת־תּוֹלַ֥עַת הַשָּׁנִ֖י וְאֶת־הַשֵּֽׁשׁ׃ פ	EXCLUDED_LEXICAL_HOMOGRAPH		Pointed OL form is lexical/non-numeric in this context; excluded from the numeric index.
EXO	30	23	EXO 30:23	HEB	12	מַחֲצִית֖וֹ	מַחֲצִיתוֹ	1/2	fraction	NOVEL_NUMERIC_CANDIDATE		0	וְאַתָּ֣ה קַח־לְךָ֮ בְּשָׂמִ֣ים רֹאשׁ֒ מָר־דְּרוֹר֙ חֲמֵ֣שׁ מֵא֔וֹת וְקִנְּמָן־בֶּ֥שֶׂם מַחֲצִית֖וֹ חֲמִשִּׁ֣ים וּמָאתָ֑יִם וּקְנֵה־בֹ֖שֶׂם חֲמִשִּׁ֥ים וּמָאתָֽיִם׃	NUMERIC	1/2	Pointed OL form is a genuine cardinal, ordinal, fraction, or numeric scale in context.
EXO	32	15	EXO 32:15	HEB	12	מִשְּׁנֵ֣י	מִשְּׁנֵי	2	cardinal_or_ordinal	NOVEL_NUMERIC_CANDIDATE		0	וַיִּ֜פֶן וַיֵּ֤רֶד מֹשֶׁה֙ מִן־הָהָ֔ר וּשְׁנֵ֛י לֻחֹ֥ת הָעֵדֻ֖ת בְּיָד֑וֹ לֻחֹ֗ת כְּתֻבִים֙ מִשְּׁנֵ֣י עֶבְרֵיהֶ֔ם מִזֶּ֥ה וּמִזֶּ֖ה הֵ֥ם כְּתֻבִֽים׃	NUMERIC	2	Pointed OL form is a genuine cardinal, ordinal, fraction, or numeric scale in context.
EXO	34	7	EXO 34:7	HEB	20	שִׁלֵּשִׁ֖ים	שִׁלֵּשִׁים	30	cardinal	NOVEL_NUMERIC_CANDIDATE		0	נֹצֵ֥ר חֶ֙סֶד֙ לָאֲלָפִ֔ים נֹשֵׂ֥א עָוֺ֛ן וָפֶ֖שַׁע וְחַטָּאָ֑ה וְנַקֵּה֙ לֹ֣א יְנַקֶּ֔ה פֹּקֵ֣ד_׀ עֲוֺ֣ן אָב֗וֹת עַל־בָּנִים֙ וְעַל־בְּנֵ֣י בָנִ֔ים עַל־שִׁלֵּשִׁ֖ים וְעַל־רִבֵּעִֽים׃	NUMERIC	3	Pointed OL form is a genuine cardinal, ordinal, fraction, or numeric scale in context.
EXO	34	22	EXO 34:22	HEB	2	שָׁבֻעֹת֙	שָׁבֻעֹת	7	cardinal	NOVEL_NUMERIC_CANDIDATE		0	וְחַ֤ג שָׁבֻעֹת֙ תַּעֲשֶׂ֣ה לְךָ֔ בִּכּוּרֵ֖י קְצִ֣יר חִטִּ֑ים וְחַג֙ הָֽאָסִ֔יף תְּקוּפַ֖ת הַשָּׁנָֽה׃	EXCLUDED_LEXICAL_HOMOGRAPH		Pointed OL form is lexical/non-numeric in this context; excluded from the numeric index.
EXO	35	25	EXO 35:25	HEB	17	הַשֵּֽׁשׁ׃	הַשֵּׁשׁ	6	cardinal	NOVEL_NUMERIC_CANDIDATE		0	וְכָל־אִשָּׁ֥ה חַכְמַת־לֵ֖ב בְּיָדֶ֣יהָ טָו֑וּ וַיָּבִ֣יאוּ מַטְוֶ֗ה אֶֽת־הַתְּכֵ֙לֶת֙ וְאֶת־הָֽאַרְגָּמָ֔ן אֶת־תּוֹלַ֥עַת הַשָּׁנִ֖י וְאֶת־הַשֵּֽׁשׁ׃	EXCLUDED_LEXICAL_HOMOGRAPH		Pointed OL form is lexical/non-numeric in this context; excluded from the numeric index.
EXO	35	35	EXO 35:35	HEB	15	וּבַשֵּׁ֖שׁ	וּבַשֵּׁשׁ	6	cardinal	NOVEL_NUMERIC_CANDIDATE		0	מִלֵּ֨א אֹתָ֜ם חָכְמַת־לֵ֗ב לַעֲשׂוֹת֮ כָּל־מְלֶ֣אכֶת חָרָ֣שׁ_׀ וְחֹשֵׁב֒ וְרֹקֵ֞ם בַּתְּכֵ֣לֶת וּבָֽאַרְגָּמָ֗ן בְּתוֹלַ֧עַת הַשָּׁנִ֛י וּבַשֵּׁ֖שׁ וְאֹרֵ֑ג עֹשֵׂי֙ כָּל־מְלָאכָ֔ה וְחֹשְׁבֵ֖י מַחֲשָׁבֹֽת׃	EXCLUDED_LEXICAL_HOMOGRAPH		Pointed OL form is lexical/non-numeric in this context; excluded from the numeric index.
EXO	37	7	EXO 37:7	HEB	8	מִשְּׁנֵ֖י	מִשְּׁנֵי	2	cardinal_or_ordinal	NOVEL_NUMERIC_CANDIDATE		0	וַיַּ֛עַשׂ שְׁנֵ֥י כְרֻבִ֖ים זָהָ֑ב מִקְשָׁה֙ עָשָׂ֣ה אֹתָ֔ם מִשְּׁנֵ֖י קְצ֥וֹת הַכַּפֹּֽרֶת׃	NUMERIC	2	Pointed OL form is a genuine cardinal, ordinal, fraction, or numeric scale in context.
EXO	37	8	EXO 37:8	HEB	14	מִשְּׁנֵ֥י	מִשְּׁנֵי	2	cardinal_or_ordinal	NOVEL_NUMERIC_CANDIDATE		0	כְּרוּב־אֶחָ֤ד מִקָּצָה֙ מִזֶּ֔ה וּכְרוּב־אֶחָ֥ד מִקָּצָ֖ה מִזֶּ֑ה מִן־הַכַּפֹּ֛רֶת עָשָׂ֥ה אֶת־הַכְּרֻבִ֖ים מִשְּׁנֵ֥י *קְצָווֹתָו **קְצוֹתָֽיו׃	NUMERIC	2	Pointed OL form is a genuine cardinal, ordinal, fraction, or numeric scale in context.
EXO	38	4	EXO 38:4	HEB	11	חֶצְיֽוֹ׃	חֶצְיוֹ	1/2	fraction	NOVEL_NUMERIC_CANDIDATE		0	וַיַּ֤עַשׂ לַמִּזְבֵּ֙חַ֙ מִכְבָּ֔ר מַעֲשֵׂ֖ה רֶ֣שֶׁת נְחֹ֑שֶׁת תַּ֧חַת כַּרְכֻּבּ֛וֹ מִלְּמַ֖טָּה עַד־חֶצְיֽוֹ׃	NUMERIC	1/2	Pointed OL form is a genuine cardinal, ordinal, fraction, or numeric scale in context.
EXO	38	23	EXO 38:23	HEB	14	וּבַשֵּֽׁשׁ׃	וּבַשֵּׁשׁ	6	cardinal	NOVEL_NUMERIC_CANDIDATE		0	וְאִתּ֗וֹ אָהֳלִיאָ֞ב בֶּן־אֲחִיסָמָ֛ךְ לְמַטֵּה־דָ֖ן חָרָ֣שׁ וְחֹשֵׁ֑ב וְרֹקֵ֗ם בַּתְּכֵ֙לֶת֙ וּבָֽאַרְגָּמָ֔ן וּבְתוֹלַ֥עַת הַשָּׁנִ֖י וּבַשֵּֽׁשׁ׃ ס	EXCLUDED_LEXICAL_HOMOGRAPH		Pointed OL form is lexical/non-numeric in this context; excluded from the numeric index.
EXO	39	3	EXO 39:3	HEB	16	הַשֵּׁ֑שׁ	הַשֵּׁשׁ	6	cardinal	NOVEL_NUMERIC_CANDIDATE		0	וַֽיְרַקְּע֞וּ אֶת־פַּחֵ֣י הַזָּהָב֮ וְקִצֵּ֣ץ פְּתִילִם֒ לַעֲשׂ֗וֹת בְּת֤וֹךְ הַתְּכֵ֙לֶת֙ וּבְת֣וֹךְ הָֽאַרְגָּמָ֔ן וּבְת֛וֹךְ תּוֹלַ֥עַת הַשָּׁנִ֖י וּבְת֣וֹךְ הַשֵּׁ֑שׁ מַעֲשֵׂ֖ה חֹשֵֽׁב׃	EXCLUDED_LEXICAL_HOMOGRAPH		Pointed OL form is lexical/non-numeric in this context; excluded from the numeric index.
EZK	5	12	EZK 5:12	HEB	1	שְׁלִשִׁתֵ֞יךְ	שְׁלִשִׁתֵיךְ	3	cardinal	NOVEL_NUMERIC_CANDIDATE		0	שְׁלִשִׁתֵ֞יךְ בַּדֶּ֣בֶר יָמ֗וּתוּ וּבָֽרָעָב֙ יִכְל֣וּ בְתוֹכֵ֔ךְ וְהַ֨שְּׁלִשִׁ֔ית בַּחֶ֖רֶב יִפְּל֣וּ סְבִיבוֹתָ֑יִךְ וְהַשְּׁלִישִׁית֙ לְכָל־ר֣וּחַ אֱזָרֶ֔ה וְחֶ֖רֶב אָרִ֥יק אַחֲרֵיהֶֽם׃	NUMERIC	1/3	Pointed OL form is a genuine cardinal, ordinal, fraction, or numeric scale in context.
EZK	16	10	EZK 16:10	HEB	6	בַּשֵּׁ֔שׁ	בַּשֵּׁשׁ	6	cardinal	NOVEL_NUMERIC_CANDIDATE		0	וָאַלְבִּישֵׁ֣ךְ רִקְמָ֔ה וָאֶנְעֲלֵ֖ךְ תָּ֑חַשׁ וָאֶחְבְּשֵׁ֣ךְ בַּשֵּׁ֔שׁ וַאֲכַסֵּ֖ךְ מֶֽשִׁי׃	EXCLUDED_LEXICAL_HOMOGRAPH		Pointed OL form is lexical/non-numeric in this context; excluded from the numeric index.
EZK	16	13	EZK 16:13	HEB	5	שֵׁשִׁי	שֵׁשִׁי	6	ordinal	NOVEL_NUMERIC_CANDIDATE		0	וַתַּעְדִּ֞י זָהָ֣ב וָכֶ֗סֶף וּמַלְבּוּשֵׁךְ֙ *שֵׁשִׁי **שֵׁ֤שׁ וָמֶ֙שִׁי֙ וְרִקְמָ֔ה סֹ֧לֶת וּדְבַ֛שׁ וָשֶׁ֖מֶן *אָכָלְתִּי **אָכָ֑לְתְּ וַתִּ֙יפִי֙ בִּמְאֹ֣ד מְאֹ֔ד וַֽתִּצְלְחִ֖י לִמְלוּכָֽה׃	EXCLUDED_LEXICAL_HOMOGRAPH		Pointed OL form is lexical/non-numeric in this context; excluded from the numeric index.
EZK	16	28	EZK 16:28	HEB	10	שָׂבָֽעַתְּ׃	שָׂבָעַתְּ	7	cardinal	NOVEL_NUMERIC_CANDIDATE		0	וַתִּזְנִי֙ אֶל־בְּנֵ֣י אַשּׁ֔וּר מִבִּלְתִּ֖י שָׂבְעָתֵ֑ךְ וַתִּזְנִ֕ים וְגַ֖ם לֹ֥א שָׂבָֽעַתְּ׃	EXCLUDED_LEXICAL_HOMOGRAPH		Pointed OL form is lexical/non-numeric in this context; excluded from the numeric index.
EZK	16	29	EZK 16:29	HEB	11	שָׂבָֽעַתְּ׃	שָׂבָעַתְּ	7	cardinal	NOVEL_NUMERIC_CANDIDATE		0	וַתַּרְבִּ֧י אֶת־תַּזְנוּתֵ֛ךְ אֶל־אֶ֥רֶץ כְּנַ֖עַן כַּשְׂדִּ֑ימָה וְגַם־בְּזֹ֖את לֹ֥א שָׂבָֽעַתְּ׃	EXCLUDED_LEXICAL_HOMOGRAPH		Pointed OL form is lexical/non-numeric in this context; excluded from the numeric index.
EZK	16	49	EZK 16:49	HEB	8	שִׂבְעַת	שִׂבְעַת	7	cardinal	NOVEL_NUMERIC_CANDIDATE		0	הִנֵּה־זֶ֣ה הָיָ֔ה עֲוֺ֖ן סְדֹ֣ם אֲחוֹתֵ֑ךְ גָּא֨וֹן שִׂבְעַת־לֶ֜חֶם וְשַׁלְוַ֣ת הַשְׁקֵ֗ט הָ֤יָה לָהּ֙ וְלִבְנוֹתֶ֔יהָ וְיַד־עָנִ֥י וְאֶבְי֖וֹן לֹ֥א הֶחֱזִֽיקָה׃	EXCLUDED_LEXICAL_HOMOGRAPH		Pointed OL form is lexical/non-numeric in this context; excluded from the numeric index.
EZK	17	24	EZK 17:24	HEB	14	הוֹבַ֙שְׁתִּי֙	הוֹבַשְׁתִּי	2	cardinal_or_ordinal	NOVEL_NUMERIC_CANDIDATE		0	וְֽיָדְע֞וּ כָּל־עֲצֵ֣י הַשָּׂדֶ֗ה כִּ֣י אֲנִ֤י יְהוָה֙ הִשְׁפַּ֣לְתִּי_׀ עֵ֣ץ גָּבֹ֗הַ הִגְבַּ֙הְתִּי֙ עֵ֣ץ שָׁפָ֔ל הוֹבַ֙שְׁתִּי֙ עֵ֣ץ לָ֔ח וְהִפְרַ֖חְתִּי עֵ֣ץ יָבֵ֑שׁ אֲנִ֥י יְהוָ֖ה דִּבַּ֥רְתִּי וְעָשִֽׂיתִי׃ פ	EXCLUDED_LEXICAL_HOMOGRAPH		Pointed OL form is lexical/non-numeric in this context; excluded from the numeric index.
EZK	18	2	EZK 18:2	HEB	15	וְשִׁנֵּ֥י	וְשִׁנֵּי	2	cardinal_or_ordinal	NOVEL_NUMERIC_CANDIDATE		0	מַה־לָּכֶ֗ם אַתֶּם֙ מֹֽשְׁלִים֙ אֶת־הַמָּשָׁ֣ל הַזֶּ֔ה עַל־אַדְמַ֥ת יִשְׂרָאֵ֖ל לֵאמֹ֑ר אָבוֹת֙ יֹ֣אכְלוּ בֹ֔סֶר וְשִׁנֵּ֥י הַבָּנִ֖ים תִּקְהֶֽינָה׃	EXCLUDED_LEXICAL_HOMOGRAPH		Pointed OL form is lexical/non-numeric in this context; excluded from the numeric index.
EZK	23	15	EZK 23:15	HEB	8	שָׁלִשִׁ֖ים	שָׁלִשִׁים	30	cardinal	NOVEL_NUMERIC_CANDIDATE		0	חֲגוֹרֵ֨י אֵז֜וֹר בְּמָתְנֵיהֶ֗ם סְרוּחֵ֤י טְבוּלִים֙ בְּרָ֣אשֵׁיהֶ֔ם מַרְאֵ֥ה שָׁלִשִׁ֖ים כֻּלָּ֑ם דְּמ֤וּת בְּנֵֽי־בָבֶל֙ כַּשְׂדִּ֔ים אֶ֖רֶץ מוֹלַדְתָּֽם׃	EXCLUDED_LEXICAL_HOMOGRAPH		Pointed OL form is lexical/non-numeric in this context; excluded from the numeric index.
EZK	23	23	EZK 23:23	HEB	17	שָֽׁלִשִׁים֙	שָׁלִשִׁים	30	cardinal	NOVEL_NUMERIC_CANDIDATE		0	בְּנֵ֧י בָבֶ֣ל וְכָל־כַּשְׂדִּ֗ים פְּק֤וֹד וְשׁ֙וֹעַ֙ וְק֔וֹעַ כָּל־בְּנֵ֥י אַשּׁ֖וּר אוֹתָ֑ם בַּח֨וּרֵי חֶ֜מֶד פַּח֤וֹת וּסְגָנִים֙ כֻּלָּ֔ם שָֽׁלִשִׁים֙ וּקְרוּאִ֔ים רֹכְבֵ֥י סוּסִ֖ים כֻּלָּֽם׃	EXCLUDED_LEXICAL_HOMOGRAPH		Pointed OL form is lexical/non-numeric in this context; excluded from the numeric index.
EZK	27	33	EZK 27:33	HEB	4	הִשְׂבַּ֖עַתְּ	הִשְׂבַּעַתְּ	7	cardinal	NOVEL_NUMERIC_CANDIDATE		0	בְּצֵ֤את עִזְבוֹנַ֙יִךְ֙ מִיַּמִּ֔ים הִשְׂבַּ֖עַתְּ עַמִּ֣ים רַבִּ֑ים בְּרֹ֤ב הוֹנַ֙יִךְ֙ וּמַ֣עֲרָבַ֔יִךְ הֶעֱשַׁ֖רְתְּ מַלְכֵי־אָֽרֶץ׃	EXCLUDED_LEXICAL_HOMOGRAPH		Pointed OL form is lexical/non-numeric in this context; excluded from the numeric index.
EZK	32	4	EZK 32:4	HEB	12	וְהִשְׂבַּעְתִּ֥י	וְהִשְׂבַּעְתִּי	7	cardinal	NOVEL_NUMERIC_CANDIDATE		0	וּנְטַשְׁתִּ֣יךָ בָאָ֔רֶץ עַל־פְּנֵ֥י הַשָּׂדֶ֖ה אֲטִילֶ֑ךָ וְהִשְׁכַּנְתִּ֤י עָלֶ֙יךָ֙ כָּל־ע֣וֹף הַשָּׁמַ֔יִם וְהִשְׂבַּעְתִּ֥י מִמְּךָ֖ חַיַּ֥ת כָּל־הָאָֽרֶץ׃	EXCLUDED_LEXICAL_HOMOGRAPH		Pointed OL form is lexical/non-numeric in this context; excluded from the numeric index.
EZK	34	16	EZK 34:16	HEB	13	הַשְּׁמֵנָ֧ה	הַשְּׁמֵנָה	8	cardinal	NOVEL_NUMERIC_CANDIDATE		0	אֶת־הָאֹבֶ֤דֶת אֲבַקֵּשׁ֙ וְאֶת־הַנִּדַּ֣חַת אָשִׁ֔יב וְלַנִּשְׁבֶּ֣רֶת אֶחֱבֹ֔שׁ וְאֶת־הַחוֹלָ֖ה אֲחַזֵּ֑ק וְאֶת־הַשְּׁמֵנָ֧ה וְאֶת־הַחֲזָקָ֛ה אַשְׁמִ֖יד אֶרְעֶ֥נָּה בְמִשְׁפָּֽט׃	EXCLUDED_LEXICAL_HOMOGRAPH		Pointed OL form is lexical/non-numeric in this context; excluded from the numeric index.
EZK	42	3	EZK 42:3	HEB	15	בַּשְּׁלִשִֽׁים׃	בַּשְּׁלִשִׁים	30	cardinal	NOVEL_NUMERIC_CANDIDATE		0	נֶ֣גֶד הָֽעֶשְׂרִ֗ים אֲשֶׁר֙ לֶחָצֵ֣ר הַפְּנִימִ֔י וְנֶ֣גֶד רִֽצְפָ֔ה אֲשֶׁ֖ר לֶחָצֵ֣ר הַחִֽיצוֹנָ֑ה אַתִּ֥יק אֶל־פְּנֵֽי־אַתִּ֖יק בַּשְּׁלִשִֽׁים׃	NUMERIC	3	Pointed OL form is a genuine cardinal, ordinal, fraction, or numeric scale in context.
